rule_id,source_row_number,analyte_canonical,specimen,fasting_required,sex,age_scope,unit_machine,unit_display_vn,unit_raw,unit_canonical,value_type,range_lower,range_upper,upper_operator,reference_type,source_priority_tier,source_url,confidence
RRV2-0063,63,LDL-C,Serum/plasma,YES preferred if calculated,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,2.59,3.36,,BAND,T2,https://isj.testcatalog.org/show/LDLFP,HIGH
RRV2-0064,64,LDL-C,Serum/plasma,YES preferred if calculated,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,3.36,4.14,,BAND,T2,https://isj.testcatalog.org/show/LDLFP,HIGH
RRV2-0065,65,LDL-C,Serum/plasma,YES preferred if calculated,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,4.14,4.91,,BAND,T2,https://isj.testcatalog.org/show/LDLFP,HIGH
RRV2-0066,66,LDL-C,Serum/plasma,YES preferred if calculated,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,4.91,,,BAND,T2,https://isj.testcatalog.org/show/LDLFP,HIGH
RRV2-0022,22,Lymphocytes %,Whole blood EDTA,NO,A,18–60,%,%,%,%,relative,12,48.6,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0024,24,Lymphocytes abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.94,3.75,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0023,23,Lymphocytes abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.92,3.8,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0012,12,MCH,Whole blood EDTA,NO,F,18–60,pg,pg,pg,pg,mass/cell,25.1,31.4,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0011,11,MCH,Whole blood EDTA,NO,M,18–60,pg,pg,pg,pg,mass/cell,26.3,32.2,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0014,14,MCHC,Whole blood EDTA,NO,F,18–60,g/L,g/L,g/L,g/L,concentration,322,366,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0013,13,MCHC,Whole blood EDTA,NO,M,18–60,g/L,g/L,g/L,g/L,concentration,323,371,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0010,10,MCV,Whole blood EDTA,NO,F,18–60,fL,fL,fL,fL,volume,71.6,91.5,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0009,9,MCV,Whole blood EDTA,NO,M,18–60,fL,fL,fL,fL,volume,73.8,93.1,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0026,26,Monocytes %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,3.1,8.9,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0025,25,Monocytes %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,3.3,9.39,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0028,28,Monocytes abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.2,0.72,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0027,27,Monocytes abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.22,0.79,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0020,20,Neutrophils %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,39.83,80.3,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0019,19,Neutrophils %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,40.4,79.53,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0021,21,Neutrophils abs,Whole blood EDTA,NO,A,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,2.21,7.55,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0018,18,PLT,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,178,366,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0017,17,PLT,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,172,375,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0034,34,Potassium,Serum/plasma,NO,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,3.5,5.3,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/potassium-k/,HIGH
RRV2-0004,4,RBC,Whole blood EDTA,NO,F,18–60,×10^12/L,T/L,×10^12/L,10^12/L,absolute,4.01,5.48,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
